,0
0,"I very rarely write a bad review but when you pay high prices and go expecting excellent service only to be let down I felt no option. 

We are visiting London so wanted a special night out. On arrival at Aqua at the Shard the...welcome was nice but when we sat down we just felt neglected. The service was very slow and throughout the whole meal we only managed to get two drinks even though asking a number of times. 

There were plenty of staff but they seemed to have a few key customers they were dealing with and certainly we were ignored most of the night. 

The food was nice but pricey, the view is ace but they have a lot to learn for how to look after customers. 

I certainly wouldn’t go backMore"
1,"For the view I’d give Aqua @ The Shard 5 out of 5 & I’d give the food 4 out of 5. It’s wasn’t the warmest but the food itself was of a high standard. 
However what let the experience down was the service and...thus service charge.
If anything they were too attentive. It’s great that you are asked if every is ok but not every 5 mins. I didn’t need advising on how to have my steak cooked for example. The main issue was the staff were over attentive however when I asked if I could have some more gravy … I think they referred to it as Beef Juice, the waiter joked and said that would be another £5. Anyway the gravy never arrived & as we were finishing up our dessert the waiter approached and apologised, half joking that they would in fact owe me £5 for forgetting. 
The bill came and of course they hadn’t deducted anything but had of course added 12.5% service charge.
Great be attentive but be sincere with it. 
I don’t mind paying over the odds as you are paying for an experience but to add the service charge on to what wasn’t a cheap meal anyway, you need to make sure you’ve earned it. Maybe I should have complained. I usually do but I didn’t want to detract from the experience of my fellow  diners. 
Could do better.More"
2,"We had the 5 course tasting and wine pairing menu and were throughly disappointed . The service was very lacking, every course we had to ask for the pairing wine as it didn’t appear with the food and was forgotten about with no apologies from...the staff. Food was very bland and unfulfilling which given the cost is unacceptable. Only plus point was the view if you were lucky another to get a table by the window.  I honestly believe if this place was on the ground floor it wouldn’t survive. Would recommend going for one drink to see the view and then going somewhere else to eat.More"
3,"We 2 sisters went to Aqua Shard for brunch at 2pm  on a Saturday. We were shown to our table and provided with  2 menus. After 20 mins our waiter returned to take our menu choices for all 3 courses. The starter arrived and was...Egg Benedict and Waffles. The waffles starter was a decent size but the egg benedict was on the small size. Half a muffin, 1 egg, square of ham and some sauce. we waited quite a long time for Pork Rib Eye (very small serving) and Beef. We had watched all of the Beef requests being carried through and each plate had a large Yorkshire pudding on. My plate didn’t have one. I asked a passing waiter if I should have had one and he laughed and said it had “flown away”. He brought one on a separate plate but by the time he brought it all my food was cold. 
Our waiter asked if we wanted tea or coffee but we said we hadn’t had dessert and he said “let me check”. He arrived with cutlery and i asked for a Port to go with my cheese choice. I waited and waited - we asked another waiter if he could bring it and he brought it. We then ordered tea for two. 
When we booked the table the reservation said we only had the table for 2 hours: however, the S L O W service meant we were there for 2 1/2 hours. 
Our brunch was £49 each - the total bill was £188.98. EVERYTHING is an extra. 
SUMMARY: 327 miles from home for an ‘average’ experience and the food, quite frankly wasn’t worth it. We had a better meal at Hard Rock Cafe for half the price😩More"
4,"Wonderful experience and food. 3 courses, all excellent. Staff were excellent and our server Justo was really lovely. We felt very well treated and would definitely recommend."
5,"Amazing restaurant, and very helpful staff had a wonderful experience. Really happy with everything."
6,"Rarely can I be bothered to leave a review but I was motivated by such a poor Sunday brunch experience at Aqua that I thought I’d share my thoughts 
The place has a cold canteen style vibe with little finesse a bored looking member of...staff mopping around you as you dined
Waitress poor and unhelpful food bought out at different times ours 20 mins after our sons!!!!
No salt or pepper offered and when requested pepper bought empty
I felt like should tell somebody when I was there that I was disappointed but I could tell the waitress wouldn’t care and  nobody about looked in charge or particularly interested
I’d say great view they need to hang onto that because they have little else to offer honestly don’t bother going I’m not sure from my visit whether they care or not if you doMore"
7,Mediocre afternoon tea experience. Very little food given for the price. We asked for a refill of tea and the waiter seemed confused by our request. The service fee is higher than the standard rate in the U.K (at 13.5%) and the quality of service...we received wasn’t reflected at that percentage.More
8,"We arrived 30 minutes early for our table booking hoping to grab a drink in the bar. We were immediately seated and then sat for 20 mins trying to get someone’s attention to order.
Several tables were seated after us and had drinks within minutes....When the drinks finally arrived, the cocktail was not nice and not worth the price tag or the wait.

We then moved to our table for dinner and had a lovely window seat. The views are lovely.

Our waiter was very nice and efficient with food ordering but our starter came out 5 minutes after ordering which seemed a bit too quick.

Our whole meal was done within an hour, which again is probably the quickest/rushed 3 course meal we have ever had.

The smoked salmon starter was average, but the beef fillet main was great. The new potato side is really lovely.

We shared a dessert and neither of us enjoyed it very much (the chocolate sphere)

The drinks service again was not great as my partner ordered a bottle of beer which was forgotten and arrived the same time as our bill..

Overall not a particularly special experience for the cost as everything was very hit and miss.

There are nicer options available for this price range.More"
9,"Amazing views well worth the price of350 plus for the meal ,just a little dark inside but to maximise the views no one was drinking wine when I looked at the list I can see why ,food basic but nice enough"
10,"We visited for lunch, my husband was disappointed not to be sat at the window especially as he booked as soon as the system was opened for that day and their were spaces available. Me I didn't mind. The  welcome was friendly. Husband had the...venison starter which was tasty but soooo small, i had the smoked duck very nice. We both had the seabass main which was very rich and just needed a little more to make it seem a good size for a main. i am not a sweet eater but did enjoy mine. We had the matching wine which work well with the starts but a bit floral the white with the seabass but could see it working well with the chicken or hake. The english sparkling we had was very apply. Overall the portions were small and we both left  not full up.More"
11,"Was prepared to be Wowed! but was not. Had the lamb which was good but not outstanding. Had 4 staff asked if we wanted drinks even though I repaired repeatedly said we just wanted wine. Very dark so hard to read the menu or to...find the loo which was equally as dark. Sommelier was nice. Menu is limited. We were rushed through our meal (or tried to rush us through our meal) even though we had booked 2 hrs and we left early. Did not see that with other tables around us necessarily. Maybe bc we were 2 women out for dinner?! Will not return.  Views, of course, were spectacular. Security tight.More"
12,"We came to have a nice drink with good views but were instead met with disappointment.

After mumbling something inaudible the waiter showed us to our table and we ordered.

After the drinks finally arrived and we'd stayed as long as we wanted, we asked...for the bill but were told we needed to pay £50 or else order something else.

Apparently there's a minimum £25pp charge which you're told when you get to the door so I expressed my disappointment and annoyance this wasn't made more obvious.

Instead of making a fuss, we ordered another drink and waited another 20 minutes to be presented with the most overpriced and disappointing cocktail I've ever tasted.

To top it all off to congratulate us for being patient with their slow service and mediocre drinks, we had to pay a 13.5% service charge too!

Save your money and go to the Sky Gardens rather than deal with this pathetic excuse to seem like a posh establishment. The view isn't worth it anyway.More"
13,"Very disappointed in todays visit to this dreadful restaurant. Very appalling service and food. We paid £262 for a service that was cold abrupt and ridiculous 
. I would never go back nor recommend to any person. Cold steak half cooked. Small portions and lean...fat that supposed to be cooked pork. Staff were rude and not welcoming at all. Disgusting service and shocking. So bitter that it ruined a day for all 4 of usMore"
14,"I was expecting a lot more for £52.00 for the afternoon tea. Service was good . I was expecting the sandwiches (only 2) pork pie , a mushroom and a fish thing in a nice stand but was on a normal plate . Deserts were...nice on a pirate ship. Scones were a nice size. Only offered the one pot of tea each.  You pay for the views. Get better for cheaper where we live. Unfortunately won’t be doing this againMore"
15,"Nice, modern restaurant on 31st floor of the Shard, meaning a fantastic view from almost all tables.
Food is good and well prepared (exactly to our preferences), but portions are very small; however VERY pricy (prices almost as at a Michelin star restaurant, which Aqua...More"
16,"Good food , wonderful view let down by service and attitude . 

Have eaten here few times previously but this experience was marred by the service and attitude . 

We arrived 25 minutes early for our table (was raining so didn’t hang around ) to...More"
17,"My wife booked afternoon tea for a 40th birthday and it didn't disappoint.
Our waiter, Victor, was very attentive and helpful.
The food was plentiful- the cakes were absolutely delicious! And the scones were just a perfect size.
The cocktails and drinks were very expensive...More"
18,"Was really looking forward to this. First and last visit was so disappointed! Obviously the views were breathtaking. We found the Aqua Shard quite like a canteen feel, very noisy and not at all what I expected. The service was the downfall. The young lady...More"
19,Great service from our waiter Fran! We were celebrating a birthday and our waiter took the initiative to bring out a birthday treat which put a smile on both our faces.
20,Amazing views and excellent serving staff (Fabio) but the Peter Pan afternoon tea was nothing more than terrible. There was a poor assortment of sandwiches in short supply. The novelty model ship on which they were served looked old and dusty. The cakes were obviously...More
21,This is a very good restaurant with amazing view over London. The food was excellent and the service was great. Had the duck for starters and steak as main course.
22,"Visited for the Peter Pan afternoon tea to celebrate a joint birthday. 
We were shown to a window seat and the views are amazing. The waitress (think it was Annabelle), was brilliant, very friendly and helpful. The food was lovely but there wasn't an awful...More"
23,Had the afternoon tea which at £52pp is far too expensive for what you get. Understand there will be a premium for the venue but as nice as it is they should really reconsider the price. No complaints with the taste and quality of re...More
24,"Nice place if you don't manage to secure a reservation at the other restaurants at Shard, try to get into Gong"
25,"I’ve had my lovely friends visiting London and I want to take them
to somewhere special. The view was absolutely amazing and the staff very friendly and sweet (specially Patricia and Terezinha, lovely girls) but the food was very bad, yes you read it right...More"
26,Booked the aqua shard as we were visiting London as part of my 60th birthday celebrations. Paid £30 upfront for reservation. Due to a family illness we were unable to make it and had to cancel. We were immediately charged £50 for cancellation due to...More
27,"Yes amazing views but the food is ridiculously over priced, pink lamb came out still wearing its wool. Much better around than this but as it’s heaving what do I know except that we were totally underwhelmed. Will not be back. Service fine and polite...More"
28,"Birthday surprise. Quite simply - superb. 
Taken for my birthday we were shown to our table which was perfect. Tucked away in a corner with an outstanding view over London.  Still daylight when we arrived but the lights illuminated through or meal. 
Daniela our waitress...More"
29,"Had an amazing birthday out with my friends, would highly recommend visiting. The views were amazing and the food was superb. The service was outstanding we was served by Cesare Stoytchew, he made it a special day for all of us a party of 12...More"
30,"Staff were lovely, the view was very cool but all of the food was average. Very disappointing for such an expensive price. The beef fillet was underwhelming for 53 pounds… I wouldn’t recommend or come again as there is much better food in London and...More"
31,"I don't know where to start: the views were incredible, the food was delicious, the desserts were incredibly elaborate and fun! The staff took such good care of us, we really enjoyed chatting with Daniela and Marco. Totally worth the trip."
32,My wife and I are somewhat veterans of afternoon tea and we booked the aqua shard as a 5th wedding anniversary treat. Yes it’s £52 each for the afternoon tea but the Peter Pan theme was really good and we did enjoy all of the...More
33,"This four star restaurant at the top of London is remarkably good. The place is quite sophisticated and warm. Andrea, who had served us was pretty good and friendly. We enjoyed his warm reception and uncanny professionalism. Thank you. (—whaltg)"
34,"Went as a couple for my boyfriends 40th birthday. Fantastic experience, views were unbelievable and the food beautiful. All staff very welcoming, with special thanks to our waiter Marco.

Will definitely be booking to go again.

Thank you to all at Aqua Shard"
35,"Amazing views, lovely food, even better service by Francesco. 

My husband and I went for brunch with another couple, we all thoroughly enjoyed it. We’ll definitely be going again."
36,"Service was shocking. Ordered mains, 10 minutes after we ordered drinks as we were still looking. Took some time to get someone’s attention to order the drinks. Our mains arrived and we asked another waiter for the drinks we were waiting for, they said they...More"
37,"Jaw dropping views, gorgeous food and attentive service from Francesco. What a treat! Beautiful surroundings, relaxing music and a warm welcome."
38,"Poor choice for vegetarians, not value for money as I wasn’t able to have an alternative roast dinner,we wasn’t told about the 13.5 service charge either, disappointed"
39,"We visited as a birthday treat for the Peter Pan afternoon tea experience. We arrived 10 minutes early  which was fine as they were pretty much empty. Took 10 minutes after sitting for someone to approach us. Ordered drinks (2 teas), they failed to arrive...More"
40,"Travelled to London for my daughter’s 21st Birthday and wanted a real ’showstopper’ experience to build the day around. We certainly weren’t disappointed- absolute professionalism and warm welcome from all staff, especially our server Francesco. Fabulous views, great food ( and tremendous value at £39...More"
41,It was such an amazing experience. The staff was so warm and inclusive. I went with a relative cousin and other 8 friends who have changed their plan and wanted to join our experience at the shard. We were welcomed and did everything to make...More
42,"My girlfriend and I visited on my birthday. Unfortunately not only was the service extremely slow, When our drinks eventually arrived the waitress spilt a full drink over my face and chest. 

Following this the waitress was apologetic but managed to take 5 minutes for...More"
43,"Been to aqua shard on my birthday.Love the service ! As I got a table right next to the window , I was able to enjoy outstanding views of London at best.Would love going there again sometime in London."
44,"I was gravely disappointed in our afternoon tea experience.

Food: Honestly, it felt like the same quality of food that one were to expect if you had high tea in a box from Pret a manger. It was small (a small saucer with 3 small...More"
45,"About 4 months ago my friend and I spend a lot of time researching where we could take our 2 eldest children, and their siblings, out for tea to celebrate a very special occasion. We wanted it to be unique and different and we settled...More"
46,"I have booked a table for my parents 25th wedding anniversary, I have bought a voucher and this was already a problem as you cannot do anything online.

My parents went and said that the service was appalling! One of the waiters was throwing cutlery...More"
47,"Booked the Peter Pan tea for my sisters birthday, only to have them cancel the day before stating they do not serve the tea after 3.15pm, after receiving a confirmation to state the tea will be going 2 days before the event.  Why they allow...More"
48,"I’m writing this to fulfil a promise to Patricia, our hole experience was amazing from start to finish and Patricia (the waitress serving us) made it even better, everything was perfect down to the last aspect, the view, the ‘Service’, the food, the drinks. Before...More"
49,"I had some cocktails with my friends at the bar, the guy who served us was from Mexico unfortunately don’t know his name was very rude, we had a bottle of wine and he didn’t care to top up when was the glasses empty we...More"
50,"Received a gift of the Peter Pan afternoon tea, and this was an absolutely magical experience. The staff were extremely attentive and our waiter Lucas was amazing! Food was delicious - my favourite was the Baked Pig but all of it was lovely. Would definitely...More"
51,"I visited the Aqua Shard bar pre COVID several times. It was buzzing and exciting, the cocktails, though expensive,  were inventive and superb, the clientele was elegant and the service impeccable. I went back this summer and found an uninteresting deserted bar, only populated by...More"
52,thankyou to our waiter francessco for being amazing and making her birthday so special she was so happy
53,"We scheduled the afternoon high tea for our 50th anniversary. It was fantastic, with the view of the city, the excellent food and excellent staff. We think it is a MUST if you have a celebration to celebrate. Carlos, our waiter, was excellent and when...More"
54,"Oh my goodness where to start
From the minute we entered the building to the minute we left we had the best time and we can’t recommend this lovely place enough
The security check-in staff were smiley happy helpful and polite 
The concierge were polite...More"
55,"We arrived early to have a pre lunch drink; 25 minute wait! Lots of staff but on sense of organisation! 
Lunch was good, arrived quickly and the waiting staff very attentive. Dessert was a total let down- Lemon Curd Sponge was a sort of trifle!...More"
56,Booked this for my husband’s birthday. View was great and food lovely. Plenty of staff but not one smile between them. Very expensive for not the best experience. There is much better in London. I advise others to give it a miss
57,"Went there for my birthday celebration and they forgot to write HBD message on my dessert. When we asked the staff, they said they would check and come back to us but nothing happened. 

Then we talked to the 'manager' Vlad Mutruc. He did not...More"
58,"We were celebrating a 70th here and the food was lovely, they were great with our two young children too. Our waitress was lovely but quite a few mistakes were made; waiting on drinks; the wrong drinks etc. she was clearly very stretched and our...More"
59,"Very special evening at the Gong inThe Shard. Expensive, but it was a special occasion, and worth it."
60,On arrival (last Saturday night) we were seated at a table 2nd row back from window and the sun was shining in our eyes (7.30pm) we asked if the blinds could be pulled down as they were on the other windows to be told the...More
61,Starters were good. Very small portion of fish and my sirloin at a £4 premium had gristle going completely through the middle. Look at the photo at what I left. Roast potatoes were like boiled potatoes popped into a frying pan to cover them in...More
62,"i know you get what you pay for but i think it is over priced still. 
the food was really nice and well presented and the service was good. it is very dark though (i think so you can see out better and see the...More"
63,"Amazing view . Can’t wait to visit again . It was organise and a big surprise from
My girlfriend .everyone needs to visit when the weather is nice."
64,"We went as a group of 3 friends for afternoon tea, all was going well until our desserts came out and we only were only served 2 of each pudding instead of 3. When paying for 3 afternoon tea at £52 per person you expect...More"
65,"Took my Great Niece for her first ever afternoon tea. It’s the views you’re paying for. Although the Peter Pan tea offers a big wow effect. 

The sandwiches weren’t to her taste so they brought plain ham and cheese. We could also box up the...More"
66,Walked in for lunchtime celebration drinks. Waitress not able to balance tray on hand and tipped coffee all over table. It splashed over our clothes and hot liquid burnt leg of one of our party. Accidents happen but no proactive response from staff. Had to...More
67,Lovely breakfast at the shard for my mums 60th birthday celebrations. Staff were friendly however was often difficult to get attention when needed and waited some time to order. Food was delicious and couldn’t fault it. Would’ve been a nice touch to have a window...More
68,This was a birthday gift from my daughters to my wife and it was for Afternoon Tea for 2.  The menu was Peter Pan themed which added to the fun.  The food was well presented but there could have a bit more of it.  The...More
69,"We visited twice, once for lunch which was good and later for a dinner which was better.  For dinner,  we took our son and his friend (aged 20) and they loved the views, the  sophisticated atmosphere,  and the food.   I'm sure it made it onto...More"
70,"The restaurant was very busy (Thursday evening) After having travelled from the North East my husband booked this restaurant as a 'special treat"" I personally consider £6 for a few rocket leaves and £14 for a bowl containing less than two inches of soup followed...More"
71,"Went for afternoon tea. 

The good(ish) - Champagne good, salty items just alright, as were the scones. Tea was OK. Oh, and the view was good, of course.

The not-so-good - the sweet items were barely so-so on average, service was not very attentive, the...More"
72,"Well big thank you !! Visited for a best friends birthday. Straight away we were greeted by the hosts wishing her Happy Birthday, went for pre drinks and told we had a window table come avaliable, Roberto our table waiter was fab and also the...More"
73,"Took my wife to stay at Shangri La for a special treat. Booked Aqua Shard for lunch as it seemed to get the best reviews of the restaurants in the building. Checked in at the hotel, back down the lifts, across the foyer, in to...More"
74,"We attended Aqua Shard for lunch on a daily quiet Monday afternoon.
Together, we ordered the smoked duck, whiskey cured salmon and broccoli soup to start; the beef fillet (they had no chicken, sea bass and hake for mains; and the brownie and lemon curd...More"
75,"I've dined at Oblix restaurant in The Shard several times and have had drinks in Aqua Shard, but never eaten there before. My nephew has just graduated and started his first ever job in London, and as a treat we decided to go to Aqua...More"
76,"Brilliant time at the Peter Pan Afternoon tea, the staff was lovely too, certainly worth the visit! Our kids loved this!"
77,"Great experience, good service and amazing views. Did the Peter Pan experience which was great, only reason I’ve marked it a 4 instead of a 5 is because it’s very expensive for what you actually get to eat. Appreciate your paying for the experience but...More"
78,"Absolutely excellent - I wish I could remember the name of the waiter who served us for our experience as he was brilliant, he talked us through all of the menu, the drinks selection and kept checking in on us. I can not fault this...More"
79,"It was an amazing evening, we was celebrating our wedding anniversary and Aqua made it that much more special for us. We had a window seat to watch the sunset and saw your amazing night view. our server (Amanda) was Exceptional. She explained the food...More"
80,"Doesn’t feel special. It feels very commercial. There is no attention to details. Staff is not well trained. I would not recommend it! Food is average, drinks absolutely ordinary!"
81,"In contrast to some of the negative reviews here, we had a delightful dinner at the Aqua Shard from beginning to end. We were shown to a lovely table despite being a little early for our reservation, the wait was only short for each course,...More"
